Date,MaxTemp,MinTemp,AvgTemp,Departure,HDD,CDD,Precipitation,NewSnow,SnowDepth
2023-10-18,66,46,56.0,-0.5,9,0,0.00,0.0,0
2023-10-19,73,43,58.0,1.9,7,0,0.00,0.0,0
2023-10-20,73,52,62.5,6.7,2,0,0.12,0.0,0
2023-10-21,68,49,58.5,3.1,6,0,T,0.0,0
2023-10-22,64,47,55.5,0.4,9,0,T,0.0,0
2023-10-23,65,41,53.0,-1.7,12,0,0.00,0.0,0
2023-10-24,72,38,55.0,0.7,10,0,0.00,0.0,0
2023-10-25,78,43,60.5,6.5,4,0,0.00,0.0,0
2023-10-26,83,47,65.0,11.4,0,0,0.00,0.0,0
2023-10-27,82,59,70.5,17.2,0,6,T,0.0,0
2023-10-28,85,57,71.0,18.1,0,6,0.00,0.0,0
2023-10-29,74,61,67.5,14.9,0,3,T,0.0,0
2023-10-30,81,53,67.0,14.7,0,2,0.14,0.0,0
2023-10-31,54,39,46.5,-5.4,18,0,T,0.0,0
2023-11-01,50,35,42.5,-9.1,22,0,T,0.0,0
2023-11-02,53,32,42.5,-8.7,22,0,0.00,0.0,0
2023-11-03,62,29,45.5,-5.4,19,0,0.00,0.0,0
2023-11-04,71,33,52.0,1.4,13,0,0.00,0.0,0
2023-11-05,74,39,56.5,6.2,8,0,0.00,0.0,0
2023-11-06,63,44,53.5,3.6,11,0,0.00,0.0,0
2023-11-07,73,48,60.5,10.9,4,0,0.00,0.0,0
2023-11-08,63,44,53.5,4.2,11,0,0.00,0.0,0
2023-11-09,77,46,61.5,12.6,3,0,0.01,0.0,0
2023-11-10,57,38,47.5,-1.1,17,0,0.21,0.0,0
2023-11-11,61,38,49.5,1.2,15,0,0.00,0.0,0
2023-11-12,52,34,43.0,-5.0,22,0,0.00,0.0,0
2023-11-13,56,29,42.5,-5.1,22,0,0.00,0.0,0
2023-11-14,61,34,47.5,0.2,17,0,0.00,0.0,0
2023-11-15,60,33,46.5,-0.5,18,0,0.00,0.0,0
2023-11-16,72,33,52.5,5.8,12,0,0.00,0.0,0
2023-11-17,71,38,54.5,8.1,10,0,0.02,0.0,0
2023-11-18,60,39,49.5,3.4,15,0,T,0.0,0
2023-11-19,60,33,46.5,0.8,18,0,0.00,0.0,0
2023-11-20,52,34,43.0,-2.4,22,0,0.00,0.0,0
2023-11-21,58,36,47.0,1.9,18,0,2.20,0.0,0
2023-11-22,61,47,54.0,9.2,11,0,0.08,0.0,0
2023-11-23,57,39,48.0,3.5,17,0,0.00,0.0,0
2023-11-24,56,35,45.5,1.3,19,0,0.00,0.0,0
2023-11-25,43,29,36.0,-7.9,29,0,0.00,0.0,0
2023-11-26,45,30,37.5,-6.1,27,0,0.28,0.0,0
2023-11-27,51,32,41.5,-1.8,23,0,0.00,0.0,0
2023-11-28,42,27,34.5,-8.5,30,0,T,T,0
2023-11-29,40,23,31.5,-11.2,33,0,0.00,0.0,0
2023-11-30,58,25,41.5,-0.9,23,0,0.00,0.0,0
2023-12-01,48,30,39.0,-3.2,26,0,0.18,0.0,0
2023-12-02,54,44,49.0,7.1,16,0,0.01,0.0,0
2023-12-03,56,48,52.0,10.4,13,0,0.59,0.0,0
2023-12-04,56,36,46.0,4.7,19,0,0.00,0.0,0
2023-12-05,51,32,41.5,0.4,23,0,T,0.0,0
2023-12-06,45,32,38.5,-2.3,26,0,0.01,T,0
2023-12-07,45,28,36.5,-4.0,28,0,T,T,0
2023-12-08,57,32,44.5,4.2,20,0,0.00,0.0,0
2023-12-09,56,34,45.0,5.0,20,0,0.00,0.0,0
2023-12-10,61,42,51.5,11.7,13,0,1.52,0.0,0
2023-12-11,48,32,40.0,0.5,25,0,0.48,T,0
2023-12-12,49,25,37.0,-2.3,28,0,0.00,0.0,0
2023-12-13,51,28,39.5,0.4,25,0,0.00,0.0,0
2023-12-14,48,23,35.5,-3.3,29,0,0.00,0.0,0
2023-12-15,60,29,44.5,5.9,20,0,0.00,0.0,0
2023-12-16,58,33,45.5,7.1,19,0,0.00,0.0,0
